budujący	budować
druzgocący	druzgotać
duszący	dusić
fascynujący	fascynować
imponujący	imponować
kojący	koić
kręcony	kręcić się
kręcony	kręcić się
kryty	krzepić
kuszący	kusić
kwitnący	kwitnąć
nachmurzony	nachmurzyć się
nadpsuty	nadpsuć się
narąbany	narąbać się
nęcący	nęcić
obiecujący	obiecać
oburzający	oburzać
odstraszający	odstraszać
odświeżający	odświeżać
piekący	piec
piekący	piec
podekscytowany	podekscytować się
podenerwowany	podenerwować się
podniecający	podniecać
podwyższony	podwyższyć się
popsuty	popsuć się
poróżniony	poróżnić się
przejedzony	przejeść się
przekonywający	przekonywać
przekrzywiony	przekrzywić się
przemieszany	przemieszać się
przeobrażony	przeobrazić się
przepracowany	przepracować się
przeszywający	przeszywać
przeżarty	przeżreć się
odkupicielski	odkupić
przyciągający	przyciągać
przygaszony	przygasać
przygnębiający	przygnębiać
przygniatający	przygniatać
zmartwychwstały	zmartwychwstać
rozmarzony	rozmarzać
rozparty	rozeprzeć się
rozwiedziony	rozwieść się
frasobliwy	frasować się
ogłupiały	ogłupieć
czepialski	czepiać się
rwisty	rwać
złoczynny	czynić
kruszconośny	nosić
kruszcodajny	dawać
kruszcorodny	rodzić
niezwietrzały	zwietrzeć
skałotwórczy	tworzyć
srebronośny	nosić
cenotwórczy	tworzyć
dziejotwórczy	tworzyć
formotwórczy	tworzyć
formotwórczy	tworzyć
formotwórczy	tworzyć
formotwórczy	tworzyć
glebotwórczy	tworzyć
górotwórczy	tworzyć
historiotwórczy	tworzyć
klimatotwórczy	tworzyć
klimatotwórczy	tworzyć
lękotwórczy	tworzyć
narodotwórczy	tworzyć
narodowotwórczy	tworzyć
państwotwórczy	tworzyć
chwastobójczy	zabijać
pozoracyjny	pozorować
rzeźbotwórczy	tworzyć
środowiskotwórczy	tworzyć
strukturotwórczy	tworzyć
strukturotwórczy	tworzyć
strukturotwórczy	tworzyć
więziotwórczy	tworzyć
żądliwy	żądać
żądliwy	żądlić
żądliwy	żądlić
chlebodajny	dawać
chlebodajny	dawać
solonośny	nosić
wzorotwórczy	tworzyć
sylabotwórczy	tworzyć
wędrowniczy	wędrować
zemściwy	zemścić się
azotolubny	lubić
kwasolubny	lubić
sucholubny	lubić
wilgociolubny	lubić
burzycielski	burzyć
cienioznośny	znosić
cieniolubny	lubić
światłożądny	żądać
torfotwórczy	tworzyć
moczopędny	pędzić
wybawicielski	wybawiać
kooperatywny	kooperować
samopiszący	pisać
ołowionośny	nosić
nobilitacyjny	nobilitować
wyległy	wylec
wyległy	wylec
zbrązowiały	zbrązowieć
przymarzły	przymarznąć
stajały	stajać
bakteriobójczy	zabijać
pierwotniakobójczy	zabijać
klejodajny	dawać
podbiegły	podbiegnąć
materiałochłonny	chłonąć
roztęskniony	tęsknić
spierzchły	spierzchnąć
zamilkły	zamilknąć
kumaty	kumać
ognioochronny	chronić
wodochłonny	chłonąć
regulatorowy	regulować
maskowniczy	maskować
roztajały	roztajać
rozkisły	rozkisnąć
skrzemieniały	skrzemienieć
kapitałochłonny	chłonąć
usypiający	usypiać
rozkisły	rozkisnąć
długogrający	grać
wiatropędny	pędzić
żółciopędny	pędzić
żółciotwórczy	tworzyć
żyjący	żyć
podrosły	podrosnąć
rozbijacki	rozbijać
zmalały	zmaleć
nabrzękły	nabrzękać
zmalały	zmaleć
zapuchły	zapuchnąć
zobojętniały	zobojętnieć
zgnuśniały	zgnuśnieć
zgnuśniały	zgnuśnieć
gromowładny	władać
rozesłany	rozesłać się
światowładny	władać
kasacyjny	kasować
głośnomówiący	mówić
śmierdzący	śmierdzieć
dializacyjny	dializować
bolesny	boleć
bolesny	boleć
wielowładny	władać
posiwiały	posiwieć
posiwiały	posiwieć
posiwiały	posiwieć
rudonośny	nosić
liczący	liczyć
adaptatywny	adaptować się
gatunkotwórczy	tworzyć
przystosowawczy	przystosować
rozbłysły	rozbłysnąć
rozgorzały	rozgorzeć
rozgorzały	rozgorzeć
formatywny	formować
ropodajny	dawać
roponośny	nosić
diamentodajny	dawać
diamentonośny	nosić
żarty	żreć
śmierdzący	śmierdzieć
życiotwórczy	tworzyć
zrywny	zrywać się
zrywny	zrywać się
kotny	kocić się
zgłoskotwórczy	tworzyć
prawoskrętny	skręcać
lewoskrętny	skręcać
niskorosły	rosnąć
zaciężny	zaciągnąć się
oprzytomniały	oprzytomnieć
oprzytomniały	oprzytomnieć
wodonośny	nosić
uranonośny	nosić
gazonośny	nosić
chwytny	chwytać
żerny	żreć
klejorodny	rodzić
