wieśniak|wsiowy	wieś|wioska
Dżibutczyk	Dżibuti|Republika Dżibuti
Ekwadorczyk	Ekwador|Republika Ekwadoru
Erytrejczyk	Erytrea|Państwo Erytrea|Erytreja
Fidżijczyk	Fidżi|Republika Fidżi
Filipińczyk	Filipiny|Republika Filipin
Gabończyk	Gabon|Republika Gabońska
Gambijczyk	Gambia|Republika Gambii
Grenadyjczyk	Grenada
Gujańczyk	Gujana|Kooperacyjna Republika Gujany
Gwatemalczyk	Gwatemala|Republika Gwatemali
Haitańczyk	Haiti|Republika Haiti
Honduranin|Honduraszczyk	Honduras|Republika Hondurasu
Jordańczyk	Jordania|Haszymidzkie Królestwo Jordanii
Kambodżanin	Kambodża|Królestwo Kambodży
Katarczyk	Katar|Państwo Katar|Państwo Kataru
Kiribatyjczyk	Kiribati|Republika Kiribati
Komoryjczyk	Komory|Związek Komorów
Kostarykanin	Kostaryka|Republika Kostaryki
Kuwejtczyk	Kuwejt|Państwo Kuwejt
Laotańczyk|Laosyjczyk	Laos|Laotańska Republika Ludowo-Demokratyczna
Sotyjczyk|Lesotyjczyk	Lesoto|Lesotho|Królestwo Lesotho
Liberyjczyk	Liberia|Republika Liberii
Kampuczanin	Ludowa Republika Kampuczy|Kampucza|Demokratyczna Kampucza
Madagaskarczyk	Madagaskar
Malawijczyk	Malawi|Republika Malawi
Malediwczyk	Malediwy|Republika Malediwów
Malijczyk	Mali|Republika Mali
Mauretańczyk	Mauretania|Islamska Republika Mauretańska
Maurytyjczyk	Mauritius|Republika Mauritiusu
Mikronezyjczyk	Mikronezja|Sfederowane Stany Mikronezji|Federacja Mikronezji
Mongoł	Mongolia
Mozambijczyk	Mozambik|Republika Mozambiku
Namibijczyk	Namibia|Republika Namibii
Naurańczyk	Nauru|Republika Nauru
Nepalczyk	Nepal
Nigerczyk	Niger|Republika Nigru
Nigeryjczyk	Nigeria|Federacyjna Republika Nigerii
Nikaraguańczyk	Nikaragua|Republika Nikaragui
Nowozelandczyk	Nowa Zelandia
Omańczyk	Oman|Sułtanat Omanu
Panamczyk	Panama|Republika Panamy
Papuańczyk	Papua-Nowa Gwinea|Niezależne Państwo Papui-Nowej Gwinei
Paragwajczyk	Paragwaj|Republika Paragwaju
Peruwianin|Peruwiańczyk	Peru|Republika Peru
Portorykańczyk	Portoryko|Puerto Rico|Stowarzyszone Wolne Państwo Portoryko|Wspólnota Portoryka
Południowoafrykańczyk	Republika Południowej Afryki|RPA
Rodezyjczyk	Rodezja|Republika Rodezji
Ruandyjczyk|Rwandyjczyk	Rwanda|Republika Rwandy|Ruanda
Salwadorczyk	Salwador|Republika Salwadoru
Samoańczyk	Samoa|Niezależne Państwo Samoa|Samoa Zachodnie
Sanmaryńczyk	San Marino|Republika San Marino
sanmaryńczyk	San Marino
dakarczyk	Dakar
Senegalczyk	Senegal|Republika Senegalu
Seszelczyk	Seszele|Republika Seszeli
Somalijczyk	Somalia|Federalna Republika Somalii
Lankijczyk	Sri Lanka|Demokratyczno-Socjalistyczna Republika Sri Lanki
Suazyjczyk	Suazi|Królestwo Suazi
Sudańczyk	Sudan|Republika Sudanu
Surinamczyk	Surinam|Republika Surinam
Syryjczyk	Syria|Syryjska Republika Arabska
Tadżyk	Tadżykistan|Republika Tadżykistanu
Tajwańczyk	Tajwan|Republika Chińska|Chińskie Tajpej
Tanzańczyk	Tanzania|Zjednoczona Republika Tanzanii
Togijczyk	Togo|Republika Togijska
Tongijczyk	Tonga|Królestwo Tonga
Trynidadczyk	Trynidad i Tobago|Republika Trynidadu i Tobago
Turkmen	Turkmenistan|Turkmenia
Ugandyjczyk	Uganda|Republika Ugandy
Urugwajczyk	Urugwaj|Wschodnia Republika Urugwaju
Borowiak	Bory Tucholskie
Uzbek	Uzbekistan|Republika Uzbekistanu
Wenezuelczyk	Wenezuela|Boliwariańska Republika Wenezueli|Republika Wenezueli
Zairczyk	Zair|Demokratyczna Republika Konga|Kongo Belgijskie|Wolne Państwo Kongo
Zambijczyk	Zambia|Republika Zambii
alwernianin	Alwernia
augustowianin	Augustów
iłżanin	Iłża
strumienianin	Strumień
baranowianin	Baranów Sandomierski
barcinianin	Barcin
bartoszyczanin	Bartoszyce
białogardzianin	Białogard
bieczanin	Biecz
bielawianin	Bielawa
bierunianin	Bieruń
biłgorajczyk	Biłgoraj
bobowianin	Bobowa
bogatynianin	Bogatynia
bojanowianin	Bojanowo
bolesławczanin	Bolesławiec
braniewianin	Braniewo
brańszczanin	Brańsk
brodniczanin	Brodnica
brzeżanin	Brzeg Dolny
brzeżanin	Brzeg
brzezinianin	Brzeziny
brześcianin	Brześć Kujawski
bukownianin	Bukowno
buszczanin	Busko-Zdrój
bychawianin	Bychawa
bytowianin	Bytów
będzinianin	Będzin
błażowianin	Błażowa
błonianin	Błonie
Biskupianin	Biskupizna
Białostocczanin	Białostocczyzna|Białostockie
