konkubin	konkubinat
nożownik	nóż
nożownik	nóż
technokrata	technokracja
kaletnik	kaletnictwo
zdun	zduństwo
kaflarz	kafel
bednarz	bednarstwo
blacharz	blacharstwo
blacharz	blacha
brązownik	brąz
bukieciarz	bukiet
bukieciarz	bukieciarstwo
ceglarz	cegła
cegielnik	cegielnictwo
cegielnik	cegła
chałupnik	chałupnictwo
chałupnik	chałupa
cyzelator	cyzelunek
cyzeler	cyzelunek
dachówkarz	dachówka
dekarz	dekarstwo
dacharz	dach
druciarz	drut
dziewiarz	dziewiarstwo
farbiarz	farbiarnia
folusznik	folusz
folusznik	folusznictwo
formierz	forma
formierz	formierstwo
giser	giserstwo
glazurnik	glazura
kafelkarz	kafelek
płytkarz	płytka
grawer	grawerstwo
introligator	introligatorstwo
filharmonik	filharmonia
harfista	harfa
keybordzista	keybord
klawikordzista	klawikord
kornecista	kornet
kotlista	kocioł
mandolinista	mandolina
oboista	obój
orkiestrant	orkiestra
koncertant	koncert
psalmista	psalm
psalmista	psalm
waltornista	waltornia
wiolista	wiola
autokrata	autokracja
samowładca	samowładztwo
autarcha	autarchia
radny	rada
radny	rada
jedynowładca	jedynowładztwo
samodzierżca	samodzierżawie
karbonariusz	karbonaryzm
kapelusznik	kapelusz
kilimiarz	kilimiarstwo
kuśnierz	kuśnierstwo
kożusznik	kożuch
lalkarz	lalka
lalkarz	lalka
liternik	liternictwo
ludwisarz	ludwisarstwo
lutnik	lutnictwo
łucznik	łuk
medalier	medalierstwo
medalier	medal
mincerz	mincerstwo
mincarz	mincarstwo
baseballista	baseball
brydżysta	brydż
chodziarz	chód
deblista	debel
dyskobol	dysk
bridżysta	bridż
brydżowiec	brydż
bejsbolista	bejsbol
długodystansowiec	długi dystans
maratończyk	maraton
młociarz	młot
młociarz	młot
miotlarz	miotła
ortopeda	ortopedia
oszczepnik	oszczep
ortopeda	ortopedia
pantoflarz	pantofel
parasolnik	parasol
parkieciarz	parkiet
oszczepnik	oszczep
perukarz	peruka
płatnerz	płatnerstwo
miecznik	miecz
płotkarz	płotek
posadzkarz	posadzka
ramiarz	rama
rękodzielnik	rękodzieło
rękodzielnik	rękodzielnictwo
rusznikarz	rusznikarstwo
rymarz	rymarstwo
siodlarz	siodlarstwo
siodlarz	siodło
sitarz	sito
