mimozowaty	mimoza
klepsydrowy	klepsydra
szparowaty	szpara
poduszeczkowaty	poduszeczka
jungowski	Jung
spielbergowski	Spielberg
flakowaty	flak
bergsonowski	Bergson
grottgerowski	Grottger
grottgerowski	Grottger
maltuzjański	Malthus
rejowski	Rej
heraklitejski	Heraklit
walterskotowski	Walter Scott
witkacowski	Witkacy
dickensowski	Dickens
byronowski	Byron
mannowski	Mann
ognisty	ogień
wymoczkowaty	wymoczek
grzybowaty	grzyb
jaszczurkowaty	jaszczurka
jabłkowaty	jabłko
ognisty	ogień
serowaty	ser biały
oliwkowaty	oliwka
oliwkowaty	oliwka
oliwkowaty	oliwka
szczotkowaty	szczotka
marmurkowaty	marmurek
powojowaty	powój
grzebykowaty	grzebyk
pajęczynowaty	pajęczyna
butelkowaty	butelka
igłowaty	igła
gadulski	gaduła
ibsenowski	Ibsen
nożycowaty	nożyce
ryjkowaty	ryjek
kretschmerowski	Kretschmer
bocianowaty	bocian
mieczowaty	miecz
pędzelkowaty	pędzelek
kopułowaty	kopuła
bachtinowski	Bachtin
herbertowski	Herbert
daszkowy	daszek
bryjowaty	bryja
marmurkowany	marmurek
monteskiuszowski	Monteskiusz
werterowski	Werter
almanachowy	almanach
mazgajowaty	mazgaj
sztyletowaty	sztylet
biczowaty	bicz
sportowy	sport
elipsowaty	elipsa
kołkowaty	kołek
wstęgowaty	wstęga
szydłowaty	szydło
pałkowaty	pałka
iksowaty	iks
kłosowaty	kłos
patyczkowaty	patyczek
szyszkowaty	szyszka
muszlowaty	muszla
chochlikowaty	chochlik
lisowaty	lis
językowaty	język
świdrowaty	świder
uszkowaty	uszko
uszkowaty	uszko
słupowaty	słup
brejowaty	breja
kameleonowaty	kameleon
kameleonowaty	kameleon
krzaczkowaty	krzaczek
miskowaty	miska
misowaty	misa
traperski	traper
alabastrowy	alabaster
antyczny	antyk
chippendalowski	chippendale
demiurgiczny	demiurg
demiurgiczny	demiurg
bucowaty	buc
stwórczy	Stwórca
stwórczy	stwórca
mahlerowski	Mahler
rabelaisowski	Rabelais
stańczykowski	Stańczyk
tołstojowski	Tołstoj
tołstojowski	Tołstoj
picassowski	Picasso
cebulowaty	cebula
schopenhauerowski	Schopenhauer
edypowy	Edyp
kubłowaty	kubeł
stendhalowski	Stendhal
brahmsowski	Brahms
witkiewiczowski	Witkiewicz
klejowaty	klej
utracjuszowski	utracjusz
torpedowaty	torpeda
bluszczowaty	bluszcz
pascalowski	Pascal
lenniczy	lennik
conradowski	Conrad
schodkowany	schodki
ambrozyjski	ambrozja
frantowski	frant
debilowaty	debil
biesowski	bies
krzyżakowaty	krzyżak
rózgowaty	rózga
taśmowaty	taśma
orzechowy	orzech
orzechowaty	orzech
mięczakowaty	mięczak
faraoński	faraon
grynderski	grynderstwo
mefistofeliczny	Mefisto
mefistofelesowski	Mefistofeles
mefistofelesowski	Mefistofeles
mefistofeliczny	Mefisto
mefistofelowy	Mefisto
mefistofelesowy	Mefistofeles
pokrzywowaty	pokrzywa
pajacowaty	pajac
pajacowaty	pajac
pajacowaty	pajac
kolbowaty	kolba
kolbowaty	kolba
piórkowaty	piórko
lirowaty	lira
osowaty	osa
osowaty	osa
potworkowaty	potworek
młoteczkowy	młoteczek
młoteczkowaty	młoteczek
betonowy	beton
półniewolniczy	niewolnik
drewniany	drewno
diamentowy	diament
dywanowy	dywan
czereśniowy	czereśnia
czereśniowy	czereśnia
dębowy	dąb
brzoskwiniowy	brzoskwinia
diamentowy	diament
diamentowy	diament
dzwonowy	dzwon
wolteriański	Wolter
papierowy	papier
lniany	len
kalafiorowy	kalafior
orzechowy	orzech
malinowy	malina
lizusowski	lizus
mosiężny	mosiądz
mosiężny	mosiądz
drzewny	drzewo
mahoniowy	mahoń
brzoskwiniowy	brzoskwinia
brzozowy	brzoza
cebulkowy	cebulka
eukaliptusowy	eukaliptus
różany	róża
różany	róża
łyżkowaty	łyżka
padalcowaty	padalec
rafaelowski	Rafael
rembrandtowski	Rembrandt
schulzowski	Schulz
sznurowaty	sznur
kostkowaty	kostka
rembrandtowski	Rembrandt
śmieciarski	śmieć
wajdowski	Wajda
goździkowy	goździk
katoński	Katon
katoński	Katon
katoński	katon
mułowaty	muł
keplerowski	Kepler
mułowaty	muł
mułowaty	muł
soplicowski	Soplicowo
