agentka	agent
Bułgarka	Bułgar
Irlandka	Irlandczyk
Islandka	Islandczyk
Bośniaczka	Bośniak
Hercegowinka	Hercegowińczyk
Maltanka	Maltańczyk
Cypryjka	Cypryjczyk
Małopolanka	Małopolanin
Dolnoślązaczka	Dolnoślązak
Wielkopolanka	Wielkopolanin
gdańszczanka	gdańszczanin
Pomorzanka	Pomorzanin
szczecinianka	szczecinianin
Kujawianka	Kujawianin
bydgoszczanka	bydgoszczanin
Ślązaczka	Ślązak
katowiczanka	katowiczanin
Podlasianka	Podlasianin
olsztynianka	olsztynianin
Warmiaczka	Warmiak
Mazurka	Mazur
bidula	bidak
narratorka	narrator
nestorka	nestor
rewolucjonistka	rewolucjonista
furtianka	furtian
realistka	realista
nieszczęśnica	nieszczęśnik
obserwatorka	obserwator
obserwatorka	obserwator
komediopisarka	komediopisarz
wolontariuszka	wolontariusz
woluntariuszka	woluntariusz
zabójczyni	zabójca
Czarnogórzanka	Czarnogórzec
Łotyszka	Łotysz
Monakijka	Monakijczyk
Serbka	Serb
górniczka	górnik
manifestantka	manifestant
pudlica	pudel
abiturientka	abiturient
kołtunka	kołtun
melomanka	meloman
najmitka	najmita
danserka	danser
docentka	docent
daleka krewna	daleki krewny
grekokatoliczka	grekokatolik
unitka	unita
birbantka	birbant
chimeryczka	chimeryk
konfirmantka	konfirmant
bałwanica	bałwan
homoseksualistka	homoseksualista
chuliganka	chuligan
kaznodziejka	kaznodzieja
Fenicjanka	Fenicjanin
Galilejka	Galilejczyk
Bizantyjka	Bizantyjczyk
drobnomieszczanka	drobnomieszczanin
drobnomieszczanka	drobnomieszczanin
koadiutorka	koadiutor
porządnisia	porządniś
porządnicka	porządnicki
krwiodawczyni	krwiodawca
kilimiarka	kilimiarz
nieboraczka	nieborak
obsesjonistka	obsesjonista
lisica	lis
zecerka	zecer
wygodnisia	wygodniś
rozrzutnica	rozrzutnik
komarzyca	komar
egotystka	egotysta
mocodawczyni	mocodawca
kursistka	kursista
mahometanka	mahometanin
projektodawczyni	projektodawca
aliantka	aliant
hobbystka	hobbysta
piromanka	piroman
kokainistka	kokainista
neofitka	neofita
kawoszka	kawosz
piwoszka	piwosz
rysica	ryś
teatromanka	teatroman
zesłanka	zesłaniec
kanarzyca	kanarek
krasomówczyni	krasomówca
rekrutka	rekrut
szympansica	szympans
wodzirejka	wodzirej
drobiarka	drobiarz
cudotwórczyni	cudotwórca
adiustatorka	adiustator
służbistka	służbista
literniczka	liternik
garncarka	garncarz
kuśnierka	kuśnierz
belferka	belfer
obsesjonatka	obsesjonat
obsesjonistka	obsesjonista
obsesjonatka	obsesjonat
erudytka	erudyta
borsuczyca	borsuk
botaniczka	botanik
zmywaczka	zmywacz
traktorzystka	traktorzysta
analfabetka	analfabeta
analfabetka	analfabeta
debilka	debil
debilka	debil
frajerka	frajer
szczyglica	szczygieł
Podhalanka	Podhalanin
poganka	poganin
szachrajka	szachraj
brzeszczanka	brzeszczanin
nowotarżanka	nowotarżanin
rolniczka	rolnik
rolniczka	rolnik
słomiana wdowa	słomiany wdowiec
zakopianka	zakopianin
zmienniczka	zmiennik
czyściocha	czyścioch
żebraczka	żebrak
weredyczka	weredyk
salezjanka	salezjanin
skoczkini	skoczek
mentorka	mentor
aresztantka	aresztant
magazynierka	magazynier
impertynentka	impertynent
przedstawicielka handlowa	przedstawiciel handlowy
dzieciobójczyni	dzieciobójca
współtowarzyszka	współtowarzysz
rówieśniczka	rówieśnik
bywalczyni	bywalec
ekspertka	ekspert
ekspertka	ekspert
filantropka	filantrop
korektorka	korektor
programistka	programista
następczyni tronu	następca tronu
blokierka	blokier
legalistka	legalista
lekomanka	lekoman
lojalistka	lojalista
lojalistka	lojalista
emisariuszka	emisariusz
mistrzyni	mistrz
mistrzyni	mistrz
mistrzyni	mistrz
aspirantka	aspirant
królica	królik
pawica	paw
kaskaderka	kaskader
kaskaderka	kaskader
odpowiedniczka	odpowiednik
papieżyca	papież
perfekcjonistka	perfekcjonista
podpalaczka	podpalacz
kolędniczka	kolędnik
koleżanka po piórze	kolega po piórze
towarzyszka niedoli	towarzysz niedoli
wędrowniczka	wędrownik
mariawitka	mariawita
idiotka	idiota
kuma	kum
stara	stary
starsza	starszy
przodkini	przodek
wstępna	wstępny
zstępna	zstępny
swatowa	swat
grymaśnica	grymaśnik
inscenizatorka	inscenizator
wróżbiarka	wróżbiarz
wróżbitka	wróżbita
wróżka	wróż
kabalarka	kabalarz
repatriantka	repatriant
podrywaczka	podrywacz
bałamutnica	bałamutnik
kłótnica	kłótnik
księgowa	księgowy
ukochana	ukochany
umiłowana	umiłowany
malwersantka	malwersant
defraudantka	defraudant
zamiataczka	zamiatacz
hospitantka	hospitant
inwentaryzatorka	inwentaryzator
habilitantka	habilitant
kwestarka	kwestarz
windykatorka	windykator
kursantka	kursant
błogosławiona	błogosławiony
święta	święty
alergiczka	alergik
abnegatka	abnegat
abnegatka	abnegat
abolicjonistka	abolicjonista
abolicjonistka	abolicjonista
abonentka	abonent
abstrakcjonistka	abstrakcjonista
abstynentka	abstynent
adaptatorka	adaptator
adherentka	adherent
admiratorka	admirator
adoratorka	adorator
adresatka	adresat
adwentystka	adwentysta
aeronautka	aeronauta
aferzystka	aferzysta
aferzystka	aferzysta
aforystka	aforysta
Afroamerykanka	Afroamerykanin
afrykanistka	afrykanista
agentka	agent
