żubrzy	żubrzyna
łosiowy	łoś
morfinowy	morfina
opiatowy	opiat
otrębiasty	otręby
słomiasty	słoma
karciany	karta
mszysty	mech
machorkowy	machorka
hreczany	hreczka
kukurydzany	kukurydza
dachówkowy	dachówka
tatarczany	tatarka
duraluminiowy	duraluminium
rutenowy	ruten
molibdenowy	molibden
cyrkonowy	cyrkon
cyrkonowy	cyrkon
heliotropowy	heliotrop
wapnisty	wapń
heliotropowy	heliotrop
krwawnikowy	krwawnik
krwawnikowy	krwawnik
trocinowy	trociny
markizowy	markiza
platanowy	platan
węglisty	węgiel
kadzidłowy	kadzidłowiec
kadzidłowy	kadzidło
tantalowy	tantal
talkowy	talk
elastomerowy	elastomer
karbonowy	karbon
mandarynkowy	mandarynka
rattanowy	rattan
ratanowy	ratan
kwarcytowy	kwarcyt
zieleńcowy	zieleniec
zieleńcowy	zieleniec
bajowy	baja
lazurytowy	lazuryt
kamgarnowy	kamgarn
czesuczowy	czesucza
octanowy	octan
szewiotowy	szewiot
zefirowy	zefir
jerseyowy	jersey
samodziałowy	samodział
krepowy	krepa
krepowy	krepa
altembasowy	altembas
kamlotowy	kamlot
rypsowy	ryps
lamowy	lama
bakaliowy	bakalie
irysowy	irys
napalmowy	napalm
gnojowy	gnój
numulitowy	numulit
frotowy	frota
pestkowy	pestka
frottowy	frotte
estrogenowy	estrogen
przecierowy	przecier
wiskozowy	wiskoza
żywopłotowy	żywopłot
borówkowy	borówka
fibrynowy	fibryna
nitrocelulozowy	nitroceluloza
nitroglicerynowy	nitrogliceryna
płatkowy	płatki
ftalowy	bezwodnik ftalowy
emulsyjny	emulsja
anhydrytowy	anhydryt
anhydrytowy	anhydryt
diploporowy	diplopora
dolomityczny	dolomit
kolendrowy	kolendra
kolendrowy	kolendra
majerankowy	majeranek
majerankowy	majeranek
pelargoniowy	pelargonia
sokowy	sok
tamaryndowy	tamarynd
tamaryndowy	tamarynd
ligninowy	lignina
ligninowy	lignina
bezowy	beza
asfaltobetonowy	asfaltobeton
grysikowy	grysik
makadamowy	makadamia
nugatowy	nugat
tłuczniowy	tłuczeń
galmanowy	galman
śliwowy	śliwa
jantarowy	jantar
amberowy	amber
nagietkowy	nagietek
lukrecjowy	lukrecja
łyżkowy	łyżka
kompostowy	kompost
mikoryzowy	grzyb mikoryzowy
chryzantemowy	chryzantema
keramzytowy	keramzyt
chlebowy	chleb
bławatny	bławat
etanowy	etan
metanowy	metan
węglowodorowy	węglowodór
płycinowy	płycina
arbuzowy	arbuz
alkidowy	alkid
cytronelowy	cytronelol
gipiurowy	gipiura
krepdeszynowy	krepdeszyna
krepdeszynowy	krepdeszyn
organdynowy	organdyna
orkiszowy	orkisz
berberysowy	berberys
cycowy	cyc
atropinowy	atropina
kreozotowy	kreozot
likierowy	likier
płótniany	płótno
sardynkowy	sardynka
turmalinowy	turmalin
brzezinowy	brzezina
brzezinowy	brzezina
jedlinowy	jedlina
jedlinowy	jedlina
jemiołowy	jemioła
kłosiany	kłos
monolitowy	monolit
monolityczny	monolit
makrocząsteczkowy	makrocząsteczka
makromolekularny	makromolekuła
porcelitowy	porcelit
silikonowy	silikon
grysowy	grys
giemzowy	giemza
szewrowy	szewro
brandzlowy	brandzel
glonowy	glon
makulaturowy	makulatura
szałwiowy	szałwia
tymiankowy	tymianek
tymiankowy	tymianek
konopiany	konopie
konopiany	konopie
neoprenowy	neopren
kutykularny	kutykula
mgielny	mgła
aragonitowy	aragonit
kalcytowy	kalcyt
stalagmitowy	stalagmit
saletrowy	saletra
fildekosowy	fildekos
saletrzany	saletra
krylowy	kryl
misiowy	miś
fosfolipidowy	fosfolipid
guziczkowy	guziczek
makaronikowy	makaronik
