pyłowy	pyłówka
przewrotny	przewrotnik
półtoraroczny	półtoraroczniak
półtoraroczny	półtoraroczniak
trzecioligowy	trzecioligowiec
damasceński	damascenka
życiowy	życiówka
miastowy	miastowy
miastowy	miastowiec
przejezdny	przejezdny
kaszubski	kaszubszczyzna
neandertalski	neandertalczyk
bliski	bliscy
zboczony	zboczeniec
nieprzyzwoity	nieprzyzwoitość
legalistyczny	legalista
przykry	przykrość
wredny	wredota
wąsaty	wąsacz
srokaty	srokaty
srokaty	srokacz
kierunkowy	kierunkowa
ułomny	ułom
cycaty	cycatka
zwyrodniały	zwyrodnialec
rogaty	rogacz
dropiaty	dropiaty
uszaty	uszanka
uszaty	uszatka
terenowy	terenówka
twardy	twardziel
borowikowy	borowikowa
hucpiarski	hucpiarz
czereśniowy	czereśniówka
wiśniowy	wiśniówka
morelowy	morelówka
brzoskwiniowy	brzoskwiniówka
pigwowy	pigwówka
goździkowy	goździkówka
asteniczny	astenik
rybny	rybny
śniegowy	śniegowiec
ciemny	ciemniak
waniliowy	waniliówka
siny	siniec
siny	siniec
siny	siniak
bezdotykowy	bezdotykowiec
inkryminowany	inkryminacja
zaszły	zaszłość
lojalistyczny	lojalista
ubóstwiony	ubóstwienie
okrągły	okrąglak
okrągły	okrąglak
nowy	nowy
nowy	nowicjusz
dwumasztowy	dwumasztowiec
jednomasztowy	jednomasztowiec
trójmasztowy	trójmasztowiec
trzymasztowy	trzymasztowiec
łysogłowy	łysy
aktywny	aktyw
cisawy	cisak
analgetyczny	analgetyk
żarliwy	żarliwiec
żarliwy	żarliwiec
zimowy	zimówka
napalony	napaleniec
kukurydziany	kukurydzianka
kukurydziany	kukurydzianka
gulaszowy	gulaszowa
dalekowidzący	dalekowidztwo
aroniowy	aroniówka
romantyczny	romantyk
kartoflany	kartoflanka
jaglany	jaglanka
kasztanowy	kasztan
wielokadłubowy	wielokadłubowiec
trzykadłubowy	trzykadłubowiec
japoński	japończyk
ekstrawersyjny	ekstrawertyk
szylkretowy	szylkretka
szylkretowy	szylkret
tandetny	tandeta
hedonistyczny	hedonizm
wygodny	wygodniś
wygodny	wygodnicki
wykwintny	wykwintniś
autochtoniczny	autochton
alochtoniczny	alochton
alochtoniczny	alochton
allochtoniczny	allochton
allochtoniczny	allochton
introwersyjny	introwertyk
ośmioboczny	ośmiobok
płony	płonina
wycinany	wycinanka
ekscentryczny	ekscentryk
małowierny	małowierny
natrętny	natrętnik
natrętny	natręt
natrętny	natręctwo
amerykański	amerykańszczyzna
amerykański	amerykański
polakożerczy	polakożerca
intelektualny	intelektualista
odpowiedni	odpowiednik
specjalny	specjalny
krętacki	krętacz
półgłośny	półgłos
postępowy	postępowiec
ejektywny	spółgłoska ejektywna
szczelinowy	spółgłoska szczelinowa
frykatywny	spółgłoska frykatywna
inertny	inert
posoborowy	posoborowie
świętokradzki	świętokradca
mikry	mikrus
