me	interj			SGJP wiki
mee	interj	onom		wiki
mhm	interj	onom		wiki
mhm	interj	apel		wiki
miau	interj	onom		SGJP wiki
mig	interj			SGJP
mik	interj			SGJP
miku	interj			SGJP
mmh	interj	onom		wiki
mmm	interj	onom		wiki
mniam	interj	emo		wiki
moiściewy	interj			SGJP
mojaśty	interj			SGJP
może	interj			SGJP
mrr	interj	onom		wiki
mru-mru	interj		mwe	SGJP
mu	interj			SGJP wiki
muu	interj	onom		wiki
myju-myju	interj		mwe	SGJP
myk	interj	onom		SGJP wiki
na	interj	inne		SGJP wiki
na diabła	interj		mwe	wiki
naprawdę	interj			SGJP
naturalnie	interj			SGJP
nawzajem	interj			SGJP
nazad	interj	apel		wiki
nie	interj	apel		SGJP wiki
nieprawdaż	interj			SGJP
no	interj	emo		SGJP wiki
no	interj	apel		SGJP wiki
nuż	interj	onom		wiki
nuże	interj	apel		SGJP wiki
o	interj	emo		SGJP wiki
o	interj	apel		SGJP wiki
o Boże	interj		mwe	wiki
o Chryst	interj		mwe	wiki
o Chryste	interj		mwe	wiki
o Jezu	interj		mwe	wiki
o Jezusie nazareński	interj		mwe	wiki
o Jezusie słodki	interj		mwe	wiki
o dziwo	interj		mwe	wiki
o jeju	interj		mwe	wiki
o kurczę	interj		mwe	wiki
o kurna	interj		mwe	wiki
o mamo	interj		mwe	wiki
o matko i córko	interj		mwe	wiki
o matyniu	interj		mwe	wiki
o rany	interj	apel	mwe	wiki
o rety	interj	emo	mwe	wiki
och	interj	emo		SGJP wiki
oczywiście	interj			SGJP
oh	interj	emo		SGJP wiki
oho	interj	emo		SGJP wiki
oho	interj	apel		SGJP wiki
oj	interj	emo		SGJP wiki
oj	interj	apel		SGJP wiki
ojej	interj	emo		SGJP wiki
ojejej	interj	emo		SGJP wiki
ojejku	interj	emo		SGJP wiki
ojoj	interj	emo		SGJP wiki
ojojoj	interj	emo		SGJP wiki
ojra	interj	inne		SGJP wiki
ojtam-ojtam	interj		mwe	wiki
okay	interj			SGJP
okej	interj			SGJP
olaboga	interj	emo		wiki
ole	interj	inne		wiki
ole	interj	emo		wiki
oo	interj			wiki
ooo	interj	emo		wiki
opa	interj	apel		wiki
ou	interj			SGJP
owa	interj			SGJP
owszem	interj			SGJP
pa	interj	apel		SGJP wiki
pac	interj	onom		SGJP wiki
pach	interj	onom		wiki
paf	interj	onom		SGJP wiki
pam-pam	interj		mwe	wiki
panie	interj			SGJP
pardon	interj	apel		wiki
pas	interj	apel		wiki
paszoł	interj	apel		wiki
patataj	interj	onom		SGJP wiki
pewnie	interj			SGJP
pfe	interj	emo		SGJP wiki
pff	interj	onom		SGJP wiki
pff	interj	emo		SGJP wiki
pfiu	interj	emo		SGJP wiki
pfu	interj	emo		SGJP wiki
pfuj	interj	emo		SGJP wiki
ph	interj	emo		wiki
phi	interj	emo		SGJP wiki
phu	interj	emo		SGJP wiki
phy	interj	emo		SGJP wiki
pi	interj	onom		SGJP wiki
pi	interj	emo		SGJP wiki
pif	interj	onom		wiki
pif-paf	interj	onom	mwe	SGJP wiki
pik	interj	onom		SGJP wiki
pip	interj	onom		wiki
pit-pi-lit	interj		mwe	SGJP
pitu-pitu	interj		mwe	SGJP
piu	interj			SGJP
plask	interj	onom		SGJP wiki
ple	interj	emo		wiki
ple-ple	interj		mwe	SGJP wiki
plum	interj	onom		SGJP wiki
plusk	interj	onom		SGJP wiki
plusku	interj			SGJP
pluś	interj			SGJP
po diabła	interj		mwe	wiki
prask	interj	onom		SGJP wiki
prast	interj	onom		SGJP wiki
prastu	interj			SGJP
prastum	interj			SGJP
prawda	interj			SGJP
precz	interj	apel		SGJP wiki
proszę	interj	apel		wiki
prr	interj	apel		SGJP wiki
prrr	interj			wiki
prru	interj			SGJP
pru	interj			SGJP
pry	interj			SGJP
prysk	interj			SGJP
przebóg	interj	emo		wiki
przebóg	interj	apel		wiki
psiadusza	interj			SGJP
psiajucha	interj	emo		SGJP wiki
psiakość	interj	emo		SGJP wiki
psiakrew	interj	emo		SGJP wiki
psiamać	interj	emo		SGJP wiki
psianoga	interj			SGJP
psiapara	interj			SGJP
psiawiaro	interj			SGJP
psik	interj	onom		SGJP wiki
psik	interj	apel		SGJP wiki
psipsi	interj			SGJP
pss	interj	apel		wiki
psss	interj			wiki
psst	interj	apel		wiki
pst	interj	apel		SGJP wiki
pstryk	interj	onom		SGJP wiki
pstręk	interj			SGJP
psyk	interj	apel		SGJP wiki
psyt	interj	apel		SGJP wiki
puf	interj			SGJP wiki
puff	interj	onom		SGJP wiki
puk	interj	onom		SGJP wiki
puk-puk	interj		mwe	wiki
pull	interj			SGJP
pycha	interj	emo		wiki
pyf	interj			SGJP
pyk	interj	onom		SGJP wiki
pyk-pyk	interj		mwe	wiki
pyrg	interj			SGJP
pęc	interj			SGJP
pęk	interj			SGJP
rach	interj			SGJP
rach-ciach	interj		mwe	wiki
rachu-ciachu	interj		mwe	wiki
rany	interj	emo		SGJP wiki
ratunku	interj	apel		wiki
raz-dwa	interj		mwe	wiki
raz-raz	interj		mwe	wiki
re-re-kum-kum	interj		mwe	wiki
rety	interj	emo		SGJP wiki
rrrum	interj			SGJP
rrum	interj			SGJP
rum	interj			SGJP
rym	interj	onom		SGJP wiki
rym	interj	inne		SGJP wiki
rym-cym-cym	interj		mwe	wiki
ryms	interj	onom		SGJP wiki
ryzyk-fizyk	interj		mwe	SGJP
sakum-pakum	interj		mwe	SGJP
salam	interj			SGJP
salem	interj			SGJP
serwus	interj	apel		wiki
siad	interj	apel		wiki
sic	interj	apel		wiki
siema	interj	apel		wiki
siku	interj			SGJP
sio	interj	apel		SGJP wiki
siup	interj	onom		SGJP wiki
siup	interj	apel		SGJP wiki
siur	interj			SGJP
siusiu	interj			SGJP
skik	interj			SGJP
skrzyp	interj	onom		wiki
skąd	interj			SGJP
skądże	interj			SGJP
smyk	interj	onom		SGJP wiki
spadówa	interj			SGJP
spoko	interj	apel		SGJP wiki
sru	interj	onom		SGJP wiki
sss	interj	onom		wiki
stop	interj	apel		SGJP wiki
stuk	interj	onom		SGJP wiki
stuk-puk	interj		mwe	wiki
stuku	interj			SGJP wiki
stuku-puku	interj		mwe	wiki
super	interj	emo		wiki
sz	interj	onom		wiki
sza	interj	apel		SGJP wiki
szach-mat	interj		mwe	wiki
szacher-macher	interj		mwe	SGJP
szalom	interj			SGJP
szast	interj	onom		SGJP wiki
szast-prast	interj		mwe	wiki
szastu-prastu	interj		mwe	wiki
szastum	interj			SGJP
szkarwas	interj			wiki
szlus	interj	apel		SGJP wiki
szmyrk	interj			SGJP
szszsz	interj	onom		wiki
szu	interj	onom		SGJP wiki
szur	interj	onom		SGJP wiki
szuru	interj			wiki
szuru-buru	interj		mwe	wiki
szurum	interj			wiki
szurum-burum	interj		mwe	SGJP wiki
szus	interj			SGJP
szust	interj			SGJP
taa	interj	emo		wiki
tak	interj	apel		SGJP wiki
tak 	interj	emo	mwe	wiki
taś	interj	apel		SGJP wiki
taś-taś	interj		mwe	SGJP
te	interj	apel		wiki
teges-śmeges	interj		mwe	wiki
tego	interj			NKJP1M
tej	interj			NKJP1M
tek	interj			SGJP
ten	interj			NKJP1M
tentego	interj			SGJP
tere	interj			wiki
tere-fere	interj		mwe	wiki
terefere	interj			SGJP
tfu	interj	onom		SGJP wiki
tfu	interj	emo		SGJP wiki
tfuj	interj	onom		SGJP wiki
tfuj	interj	emo		SGJP wiki
tfy	interj	emo		SGJP wiki
tida-dida	interj		mwe	wiki
tik	interj	onom		wiki
